"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2014","European Union (28 countries)","Extra EU-28","Total","Total","Asylum applicant","Person","626 960"
"2014","European Union (28 countries)","Extra EU-28","Total","Total","First time applicant","Person","562 680"
"2014","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","627 780"
"2014","European Union (28 countries)","Total","Total","Total","First time applicant","Person","563 345"
"2014","Belgium","Extra EU-28","Total","Total","Asylum applicant","Person","22 710"
"2014","Belgium","Extra EU-28","Total","Total","First time applicant","Person","14 045"
"2014","Belgium","Total","Total","Total","Asylum applicant","Person","22 850"
"2014","Belgium","Total","Total","Total","First time applicant","Person","14 130"
"2014","Bulgaria","Extra EU-28","Total","Total","Asylum applicant","Person","11 080"
"2014","Bulgaria","Extra EU-28","Total","Total","First time applicant","Person","10 805"
"2014","Bulgaria","Total","Total","Total","Asylum applicant","Person","11 080"
"2014","Bulgaria","Total","Total","Total","First time applicant","Person","10 805"
"2014","Czech Republic","Extra EU-28","Total","Total","Asylum applicant","Person","1 145"
"2014","Czech Republic","Extra EU-28","Total","Total","First time applicant","Person","905"
"2014","Czech Republic","Total","Total","Total","Asylum applicant","Person","1 155"
"2014","Czech Republic","Total","Total","Total","First time applicant","Person","915"
"2014","Denmark","Extra EU-28","Total","Total","Asylum applicant","Person","14 680"
"2014","Denmark","Extra EU-28","Total","Total","First time applicant","Person","14 535"
"2014","Denmark","Total","Total","Total","Asylum applicant","Person","14 715"
"2014","Denmark","Total","Total","Total","First time applicant","Person","14 565"
"2014","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","Asylum applicant","Person","202 645"
"2014","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","First time applicant","Person","172 945"
"2014","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","202 815"
"2014","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","173 070"
"2014","Estonia","Extra EU-28","Total","Total","Asylum applicant","Person","155"
"2014","Estonia","Extra EU-28","Total","Total","First time applicant","Person","145"
"2014","Estonia","Total","Total","Total","Asylum applicant","Person","155"
"2014","Estonia","Total","Total","Total","First time applicant","Person","145"
"2014","Ireland","Extra EU-28","Total","Total","Asylum applicant","Person","1 450"
"2014","Ireland","Extra EU-28","Total","Total","First time applicant","Person","1 440"
"2014","Ireland","Total","Total","Total","Asylum applicant","Person","1 450"
"2014","Ireland","Total","Total","Total","First time applicant","Person","1 440"
"2014","Greece","Extra EU-28","Total","Total","Asylum applicant","Person","9 430"
"2014","Greece","Extra EU-28","Total","Total","First time applicant","Person","7 585"
"2014","Greece","Total","Total","Total","Asylum applicant","Person","9 435"
"2014","Greece","Total","Total","Total","First time applicant","Person","7 590"
"2014","Spain","Extra EU-28","Total","Total","Asylum applicant","Person","5 615"
"2014","Spain","Extra EU-28","Total","Total","First time applicant","Person","5 460"
"2014","Spain","Total","Total","Total","Asylum applicant","Person","5 615"
"2014","Spain","Total","Total","Total","First time applicant","Person","5 460"
"2014","France","Extra EU-28","Total","Total","Asylum applicant","Person","64 310"
"2014","France","Extra EU-28","Total","Total","First time applicant","Person","58 845"
"2014","France","Total","Total","Total","Asylum applicant","Person","64 310"
"2014","France","Total","Total","Total","First time applicant","Person","58 845"
"2014","Croatia","Extra EU-28","Total","Total","Asylum applicant","Person","450"
"2014","Croatia","Extra EU-28","Total","Total","First time applicant","Person","380"
"2014","Croatia","Total","Total","Total","Asylum applicant","Person","450"
"2014","Croatia","Total","Total","Total","First time applicant","Person","380"
"2014","Italy","Extra EU-28","Total","Total","Asylum applicant","Person","64 625"
"2014","Italy","Extra EU-28","Total","Total","First time applicant","Person","63 655"
"2014","Italy","Total","Total","Total","Asylum applicant","Person","64 625"
"2014","Italy","Total","Total","Total","First time applicant","Person","63 655"
"2014","Cyprus","Extra EU-28","Total","Total","Asylum applicant","Person","1 745"
"2014","Cyprus","Extra EU-28","Total","Total","First time applicant","Person","1 480"
"2014","Cyprus","Total","Total","Total","Asylum applicant","Person","1 745"
"2014","Cyprus","Total","Total","Total","First time applicant","Person","1 480"
"2014","Latvia","Extra EU-28","Total","Total","Asylum applicant","Person","375"
"2014","Latvia","Extra EU-28","Total","Total","First time applicant","Person","365"
"2014","Latvia","Total","Total","Total","Asylum applicant","Person","375"
"2014","Latvia","Total","Total","Total","First time applicant","Person","365"
"2014","Lithuania","Extra EU-28","Total","Total","Asylum applicant","Person","440"
"2014","Lithuania","Extra EU-28","Total","Total","First time applicant","Person","385"
"2014","Lithuania","Total","Total","Total","Asylum applicant","Person","440"
"2014","Lithuania","Total","Total","Total","First time applicant","Person","385"
"2014","Luxembourg","Extra EU-28","Total","Total","Asylum applicant","Person","1 150"
"2014","Luxembourg","Extra EU-28","Total","Total","First time applicant","Person","1 030"
